QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,QB,Alex Smith (9358462),Alex Smith,9358462,5400,KC@NE 08:30PM ET,KC,
,,,,,,,,,,RB,Tevin Coleman (9359799),Tevin Coleman,9359799,5400,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,QB,Jay Cutler (9358767),Jay Cutler,9358767,5400,TB@MIA 01:00PM ET,MIA,
,,,,,,,,,,WR,Jarvis Landry (9359354),Jarvis Landry,9359354,5400,TB@MIA 01:00PM ET,MIA,
,,,,,,,,,,RB,Christian McCaffrey (9360106),Christian McCaffrey,9360106,5400,CAR@SF 04:25PM ET,CAR,
,,,,,,,,,,RB,Isaiah Crowell (9359508),Isaiah Crowell,9359508,5300,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,WR,DeVante Parker (9359438),DeVante Parker,9359438,5300,TB@MIA 01:00PM ET,MIA,
,,,,,,,,,,RB,Marshawn Lynch (9358839),Marshawn Lynch,9358839,5300,OAK@TEN 01:00PM ET,OAK,
,,,,,,,,,,QB,Carson Wentz (9359579),Carson Wentz,9359579,5300,PHI@WAS 01:00PM ET,PHI,
,,,,,,,,,,WR,Randall Cobb (9359063),Randall Cobb,9359063,5300,SEA@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Pierre Garcon (9358952),Pierre Garcon,9358952,5300,CAR@SF 04:25PM ET,SF,
,,,,,,,,,,RB,Danny Woodhead (9358912),Danny Woodhead,9358912,5200,BAL@CIN 01:00PM ET,BAL,
,,,,,,,,,,WR,Allen Robinson (9359555),Allen Robinson,9359555,5200,JAX@HOU 01:00PM ET,JAX,
,,,,,,,,,,QB,Colt McCoy (9358876),Colt McCoy,9358876,5200,PHI@WAS 01:00PM ET,WAS,
,,,,,,,,,,WR,Davante Adams (9359572),Davante Adams,9359572,5200,SEA@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Emmanuel Sanders (9358429),Emmanuel Sanders,9358429,5200,LAC@DEN 10:20PM ET,DEN,
,,,,,,,,,,RB,Lamar Miller (9359144),Lamar Miller,9359144,5100,JAX@HOU 01:00PM ET,HOU,
,,,,,,,,,,TE,Jimmy Graham (9358854),Jimmy Graham,9358854,5100,SEA@GB 04:25PM ET,SEA,
,,,,,,,,,,QB,Brian Hoyer (9358825),Brian Hoyer,9358825,5100,CAR@SF 04:25PM ET,SF,
,,,,,,,,,,WR,Brandon Marshall (9358773),Brandon Marshall,9358773,5100,NYG@DAL 08:30PM ET,NYG,
,,,,,,,,,,WR,Cameron Meredith (9359342),Cameron Meredith,9359342,5000,ATL@CHI 01:00PM ET,CHI,
,,,,,,,,,,WR,Jeremy Maclin (9358902),Jeremy Maclin,9358902,5000,BAL@CIN 01:00PM ET,BAL,
,,,,,,,,,,QB,Ryan Tannehill (9358918),Ryan Tannehill,9358918,5000,TB@MIA 01:00PM ET,MIA,
,,,,,,,,,,WR,Eric Decker (9358866),Eric Decker,9358866,5000,OAK@TEN 01:00PM ET,TEN,
,,,,,,,,,,WR,Donte Moncrief (9359514),Donte Moncrief,9359514,5000,IND@LAR 04:05PM ET,IND,
,,,,,,,,,,RB,Eddie Lacy (9359137),Eddie Lacy,9359137,5000,SEA@GB 04:25PM ET,SEA,
,,,,,,,,,,RB,Jonathan Stewart (9358858),Jonathan Stewart,9358858,5000,CAR@SF 04:25PM ET,CAR,
,,,,,,,,,,QB,Trevor Siemian (9358407),Trevor Siemian,9358407,5000,LAC@DEN 10:20PM ET,DEN,
,,,,,,,,,,RB,Bilal Powell (9358976),Bilal Powell,9358976,4900,NYJ@BUF 01:00PM ET,NYJ,
,,,,,,,,,,QB,Mike Glennon (9359054),Mike Glennon,9359054,4900,ATL@CHI 01:00PM ET,CHI,
,,,,,,,,,,QB,Matt Moore (9358783),Matt Moore,9358783,4900,TB@MIA 01:00PM ET,MIA,
,,,,,,,,,,WR,DeSean Jackson (9358870),DeSean Jackson,9358870,4900,TB@MIA 01:00PM ET,TB,
,,,,,,,,,,RB,Jacquizz Rodgers (9359009),Jacquizz Rodgers,9359009,4900,TB@MIA 01:00PM ET,TB,
,,,,,,,,,,WR,Willie Snead (9358647),Willie Snead,9358647,4900,NO@MIN 07:10PM ET,NO,
,,,,,,,,,,WR,Tyrell Williams (9358698),Tyrell Williams,9358698,4900,LAC@DEN 10:20PM ET,LAC,
,,,,,,,,,,RB,Mike Gillislee (9358572),Mike Gillislee,9358572,4800,KC@NE 08:30PM ET,NE,
,,,,,,,,,,WR,Chris Hogan (9358592),Chris Hogan,9358592,4800,KC@NE 08:30PM ET,NE,
,,,,,,,,,,RB,Matt Forte (9358829),Matt Forte,9358829,4800,NYJ@BUF 01:00PM ET,NYJ,
,,,,,,,,,,WR,Kenny Britt (9358910),Kenny Britt,9358910,4800,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,QB,Cody Kessler (9359374),Cody Kessler,9359374,4800,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,QB,DeShone Kizer (9360141),DeShone Kizer,9360141,4800,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,WR,John Brown (9359075),John Brown,9359075,4800,ARI@DET 01:00PM ET,ARI,
,,,,,,,,,,QB,Tom Savage (9359166),Tom Savage,9359166,4800,JAX@HOU 01:00PM ET,HOU,
,,,,,,,,,,QB,Blake Bortles (9359337),Blake Bortles,9359337,4800,JAX@HOU 01:00PM ET,JAX,
,,,,,,,,,,QB,Deshaun Watson (9360105),Deshaun Watson,9360105,4800,JAX@HOU 01:00PM ET,HOU,
,,,,,,,,,,QB,Ryan Fitzpatrick (9358769),Ryan Fitzpatrick,9358769,4800,TB@MIA 01:00PM ET,TB,
,,,,,,,,,,RB,Doug Martin (9358924),Doug Martin,9358924,4800,TB@MIA 01:00PM ET,TB,
,,,,,,,,,,QB,Jared Goff (9359862),Jared Goff,9359862,4800,IND@LAR 04:05PM ET,LAR,
,,,,,,,,,,RB,Thomas Rawls (9359481),Thomas Rawls,9359481,4800,SEA@GB 04:25PM ET,SEA,
,,,,,,,,,,QB,Geno Smith (9359180),Geno Smith,9359180,4800,NYG@DAL 08:30PM ET,NYG,
,,,,,,,,,,WR,Adam Thielen (9358534),Adam Thielen,9358534,4800,NO@MIN 07:10PM ET,MIN,
,,,,,,,,,,RB,Mark Ingram (9358627),Mark Ingram,9358627,4800,NO@MIN 07:10PM ET,NO,
,,,,,,,,,,QB,Patrick Mahomes II (9358463),Patrick Mahomes II,9358463,4700,KC@NE 08:30PM ET,KC,
,,,,,,,,,,QB,AJ McCarron (9359139),AJ McCarron,9359139,4700,BAL@CIN 01:00PM ET,CIN,
,,,,,,,,,,RB,Terrance West (9359404),Terrance West,9359404,4700,BAL@CIN 01:00PM ET,BAL,
,,,,,,,,,,QB,Landry Jones (9358995),Landry Jones,9358995,4700,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,RB,Theo Riddick (9359148),Theo Riddick,9359148,4700,ARI@DET 01:00PM ET,DET,
,,,,,,,,,,QB,Brett Hundley (9359360),Brett Hundley,9359360,4700,SEA@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Colin Kaepernick (9358879),Colin Kaepernick,9358879,4700,CAR@SF 04:25PM ET,SF,
,,,,,,,,,,WR,Cole Beasley (9359021),Cole Beasley,9359021,4700,NYG@DAL 08:30PM ET,DAL,
,,,,,,,,,,QB,Case Keenum (9358516),Case Keenum,9358516,4700,NO@MIN 07:10PM ET,MIN,
,,,,,,,,,,TE,Kyle Rudolph (9358554),Kyle Rudolph,9358554,4700,NO@MIN 07:10PM ET,MIN,
,,,,,,,,,,QB,Josh McCown (9358763),Josh McCown,9358763,4600,NYJ@BUF 01:00PM ET,NYJ,
,,,,,,,,,,QB,Mitchell Trubisky (9359883),Mitchell Trubisky,9359883,4600,ATL@CHI 01:00PM ET,CHI,
,,,,,,,,,,TE,Tyler Eifert (9359146),Tyler Eifert,9359146,4600,BAL@CIN 01:00PM ET,CIN,
,,,,,,,,,,RB,Duke Johnson Jr. (9359701),Duke Johnson Jr.,9359701,4600,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,QB,Nick Foles (9358980),Nick Foles,9358980,4600,PHI@WAS 01:00PM ET,PHI,
,,,,,,,,,,RB,Carlos Hyde (9359217),Carlos Hyde,9359217,4600,CAR@SF 04:25PM ET,SF,
,,,,,,,,,,QB,Chase Daniel (9358624),Chase Daniel,9358624,4600,NO@MIN 07:10PM ET,NO,
,,,,,,,,,,QB,Paxton Lynch (9358408),Paxton Lynch,9358408,4600,LAC@DEN 10:20PM ET,DEN,
,,,,,,,,,,RB,C.J. Anderson (9358411),C.J. Anderson,9358411,4600,LAC@DEN 10:20PM ET,DEN,
,,,,,,,,,,QB,Matt Schaub (9358819),Matt Schaub,9358819,4500,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,WR,Mike Wallace (9358914),Mike Wallace,9358914,4500,BAL@CIN 01:00PM ET,BAL,
,,,,,,,,,,QB,Ryan Mallett (9358916),Ryan Mallett,9358916,4500,BAL@CIN 01:00PM ET,BAL,
,,,,,,,,,,RB,Giovani Bernard (9359221),Giovani Bernard,9359221,4500,BAL@CIN 01:00PM ET,CIN,
,,,,,,,,,,RB,James Conner (9359959),James Conner,9359959,4500,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,QB,Blaine Gabbert (9359039),Blaine Gabbert,9359039,4500,ARI@DET 01:00PM ET,ARI,
,,,,,,,,,,QB,Matt Cassel (9358764),Matt Cassel,9358764,4500,OAK@TEN 01:00PM ET,TEN,
,,,,,,,,,,QB,Connor Cook (9359495),Connor Cook,9359495,4500,OAK@TEN 01:00PM ET,OAK,
,,,,,,,,,,RB,LeGarrette Blount (9359000),LeGarrette Blount,9359000,4500,PHI@WAS 01:00PM ET,PHI,
,,,,,,,,,,QB,Scott Tolzien (9358895),Scott Tolzien,9358895,4500,IND@LAR 04:05PM ET,IND,
,,,,,,,,,,QB,Trevone Boykin (9359425),Trevone Boykin,9359425,4500,SEA@GB 04:25PM ET,SEA,
,,,,,,,,,,RB,Adrian Peterson (9358629),Adrian Peterson,9358629,4500,NO@MIN 07:10PM ET,NO,
,,,,,,,,,,QB,Brock Osweiler (9359095),Brock Osweiler,9359095,4500,LAC@DEN 10:20PM ET,DEN,
,,,,,,,,,,RB,Rex Burkhead (9358574),Rex Burkhead,9358574,4400,KC@NE 08:30PM ET,NE,
,,,,,,,,,,WR,Jordan Matthews (9359273),Jordan Matthews,9359273,4400,NYJ@BUF 01:00PM ET,BUF,
,,,,,,,,,,QB,Christian Hackenberg (9360015),Christian Hackenberg,9360015,4400,NYJ@BUF 01:00PM ET,NYJ,
,,,,,,,,,,RB,Jeremy Hill (9359597),Jeremy Hill,9359597,4400,BAL@CIN 01:00PM ET,CIN,
,,,,,,,,,,WR,Corey Coleman (9359787),Corey Coleman,9359787,4400,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,WR,Tyler Lockett (9359463),Tyler Lockett,9359463,4400,SEA@GB 04:25PM ET,SEA,
,,,,,,,,,,QB,Kellen Moore (9358923),Kellen Moore,9358923,4400,NYG@DAL 08:30PM ET,DAL,
,,,,,,,,,,RB,Alfred Morris (9358926),Alfred Morris,9358926,4400,NYG@DAL 08:30PM ET,DAL,
,,,,,,,,,,QB,Cardale Jones (9358679),Cardale Jones,9358679,4400,LAC@DEN 10:20PM ET,LAC,
,,,,,,,,,,WR,Danny Amendola (9358594),Danny Amendola,9358594,4300,KC@NE 08:30PM ET,NE,
,,,,,,,,,,QB,Mark Sanchez (9358865),Mark Sanchez,9358865,4300,ATL@CHI 01:00PM ET,CHI,
,,,,,,,,,,RB,Ameer Abdullah (9359363),Ameer Abdullah,9359363,4300,ARI@DET 01:00PM ET,DET,
,,,,,,,,,,QB,Chad Henne (9358826),Chad Henne,9358826,4300,JAX@HOU 01:00PM ET,JAX,
,,,,,,,,,,TE,Delanie Walker (9358795),Delanie Walker,9358795,4300,OAK@TEN 01:00PM ET,TEN,
,,,,,,,,,,RB,Rob Kelley (9359444),Rob Kelley,9359444,4300,PHI@WAS 01:00PM ET,WAS,
,,,,,,,,,,RB,Frank Gore (9358765),Frank Gore,9358765,4300,IND@LAR 04:05PM ET,IND,
,,,,,,,,,,QB,Sean Mannion (9359309),Sean Mannion,9359309,4300,IND@LAR 04:05PM ET,LAR,
,,,,,,,,,,WR,Devin Funchess (9359804),Devin Funchess,9359804,4300,CAR@SF 04:25PM ET,CAR,
,,,,,,,,,,RB,Paul Perkins (9359679),Paul Perkins,9359679,4300,NYG@DAL 08:30PM ET,NYG,
,,,,,,,,,,QB,T.J. Yates (9358882),T.J. Yates,9358882,4200,NYJ@BUF 01:00PM ET,BUF,
,,,,,,,,,,WR,Mohamed Sanu (9359081),Mohamed Sanu,9359081,4200,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,WR,Kevin White (9359873),Kevin White,9359873,4200,ATL@CHI 01:00PM ET,CHI,
,,,,,,,,,,RB,Alfred Blue (9359183),Alfred Blue,9359183,4200,JAX@HOU 01:00PM ET,HOU,
,,,,,,,,,,WR,Rishard Matthews (9359303),Rishard Matthews,9359303,4200,OAK@TEN 01:00PM ET,TEN,
,,,,,,,,,,RB,Samaje Perine (9360087),Samaje Perine,9360087,4200,PHI@WAS 01:00PM ET,WAS,
,,,,,,,,,,RB,Latavius Murray (9358522),Latavius Murray,9358522,4200,NO@MIN 07:10PM ET,MIN,
,,,,,,,,,,WR,Ted Ginn Jr. (9358649),Ted Ginn Jr.,9358649,4200,NO@MIN 07:10PM ET,NO,
,,,,,,,,,,RB,Jamaal Charles (9358413),Jamaal Charles,9358413,4200,LAC@DEN 10:20PM ET,DEN,
,,,,,,,,,,QB,Drew Stanton (9358786),Drew Stanton,9358786,4100,ARI@DET 01:00PM ET,ARI,
,,,,,,,,,,WR,Marvin Jones Jr. (9359028),Marvin Jones Jr.,9359028,4100,ARI@DET 01:00PM ET,DET,
,,,,,,,,,,RB,D'Onta Foreman (9360119),D'Onta Foreman,9360119,4100,JAX@HOU 01:00PM ET,HOU,
,,,,,,,,,,RB,Kenyan Drake (9359763),Kenyan Drake,9359763,4100,TB@MIA 01:00PM ET,MIA,
,,,,,,,,,,RB,DeAndre Washington (9359471),DeAndre Washington,9359471,4100,OAK@TEN 01:00PM ET,OAK,
,,,,,,,,,,TE,Martellus Bennett (9358872),Martellus Bennett,9358872,4100,SEA@GB 04:25PM ET,GB,
,,,,,,,,,,RB,C.J. Prosise (9359822),C.J. Prosise,9359822,4100,SEA@GB 04:25PM ET,SEA,
,,,,,,,,,,RB,Tim Hightower (9358823),Tim Hightower,9358823,4100,CAR@SF 04:25PM ET,SF,
,,,,,,,,,,WR,Sterling Shepard (9359688),Sterling Shepard,9359688,4100,NYG@DAL 08:30PM ET,NYG,
,,,,,,,,,,QB,Tyler Bray (9358464),Tyler Bray,9358464,4000,KC@NE 08:30PM ET,KC,
,,,,,,,,,,QB,Joel Stave (9358465),Joel Stave,9358465,4000,KC@NE 08:30PM ET,KC,
,,,,,,,,,,RB,Charcandrick West (9358468),Charcandrick West,9358468,4000,KC@NE 08:30PM ET,KC,
,,,,,,,,,,QB,Bryce Petty (9359121),Bryce Petty,9359121,4000,NYJ@BUF 01:00PM ET,NYJ,
,,,,,,,,,,QB,Nathan Peterman (9359596),Nathan Peterman,9359596,4000,NYJ@BUF 01:00PM ET,BUF,
,,,,,,,,,,QB,Keith Wenning (9360213),Keith Wenning,9360213,4000,NYJ@BUF 01:00PM ET,BUF,
,,,,,,,,,,QB,Matt Simms (9358982),Matt Simms,9358982,4000,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,QB,Connor Shaw (9359208),Connor Shaw,9359208,4000,ATL@CHI 01:00PM ET,CHI,
,,,,,,,,,,WR,Taylor Gabriel (9360055),Taylor Gabriel,9360055,4000,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,QB,Alek Torgersen (9360071),Alek Torgersen,9360071,4000,ATL@CHI 01:00PM ET,ATL,
,,,,,,,,,,QB,Jeff Driskel (9359383),Jeff Driskel,9359383,4000,BAL@CIN 01:00PM ET,CIN,
,,,,,,,,,,QB,Dustin Vaughan (9360082),Dustin Vaughan,9360082,4000,BAL@CIN 01:00PM ET,BAL,
,,,,,,,,,,QB,Thad Lewis (9360206),Thad Lewis,9360206,4000,BAL@CIN 01:00PM ET,BAL,
,,,,,,,,,,QB,Robert Griffin III (9359002),Robert Griffin III,9359002,4000,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,WR,Josh Gordon (9359119),Josh Gordon,9359119,4000,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,RB,Fitzgerald Toussaint (9359156),Fitzgerald Toussaint,9359156,4000,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,WR,Justin Hunter (9359202),Justin Hunter,9359202,4000,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,QB,Kevin Hogan (9359414),Kevin Hogan,9359414,4000,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,QB,Josh Woodrum (9359574),Josh Woodrum,9359574,4000,PIT@CLE 01:00PM ET,CLE,
,,,,,,,,,,QB,Bart Houston (9359626),Bart Houston,9359626,4000,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,QB,Joshua Dobbs (9359934),Joshua Dobbs,9359934,4000,PIT@CLE 01:00PM ET,PIT,
,,,,,,,,,,QB,Jake Rudock (9359571),Jake Rudock,9359571,4000,ARI@DET 01:00PM ET,DET,
,,,,,,,,,,QB,Trevor Knight (9359687),Trevor Knight,9359687,4000,ARI@DET 01:00PM ET,ARI,
,,,,,,,,,,QB,Brandon Weeden (9358938),Brandon Weeden,9358938,4000,JAX@HOU 01:00PM ET,HOU,
